Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;2M LOCACOES DE STANDES LTDA EPP;Logradouro Local Fiscalizado;CEP;;Município Local Fiscalizado;UF Local Fiscalizado
2011;2011/03;59.948.570/0009-08;BSI TECNOLOGIA LTDA.;R DA CONSOLACAO 293 ANDAR 4                   ANDA;01301-000;CONSOLACAO;São Paulo;São Paulo
2010;2010/07;59.948.570/0001-50;BSI TECNOLOGIA LTDA.;RUA DR. BRAULIO GOMES 36/AV. GUIDO CALOI, 1000;01050-000;Sem Informação;São Paulo;São Paulo
2008;2008/10;59.948.570/0006-65;BSI TECONOLOGIA LTDA;ESTRADA MUNICIPAL DO CAPUAVA,1000;01000-000;CHAC. ONDAS VERDES;São Paulo;São Paulo
2008;2008/10;02.549.696/0002-16;BSL BRASILEIRA DE SERVICOS LTDA;RUA CADIRIRI, 1201;03109-040;MOOCA;São Paulo;São Paulo
2011;2011/01;58.007.519/0001-81;BSM CONSULTORES LTDA;RUA DR ZUQUIM,1720;02035-022;SANTANA;São Paulo;São Paulo
2011;2011/01;00.126.447/0001-01;BSM EMPREENDIMENTOS E CONSTRUÇÕES LTDA;AV. RIO DE JANEIRO, 510;11665-191;JD. PRIMAVERA;Caraguatatuba;São Paulo
2011;2011/05;00.126.447/0001-01;BSM EMPREENDIMENTOS E CONSTRUÇÕES LTDA.;AV. RIO DE JANEIRO,451;11666-000;INDAIÁ;Caraguatatuba;São Paulo
2011;2011/06;11.687.905/0001-06;BSN - INSTALACOES ELETRICAS LTDA;RUA ADRIATICO 151;09172-180;JARDIM DO ESTADIO;Santo André;São Paulo
2009;2009/04;Sem Informação;BSP BUSINESS SCHOOL SAO PAULO LTDA;RUA ALEXANDRE DUMAS, 2100;SI;Sem Informação;São Paulo;São Paulo
2010;2010/09;11.140.661/0001-39;BSR COMERCIO E CONFECCOES LTDA;AV. AUTONOMISTAS,1828;06083-215;VILA YARA;Osasco;São Paulo
2010;2010/06;11.140.661/0001-39;BSR COMÉRCIO E CONFECÇÕES LTDA;AV. STO ANTONIO 1901;SI;VILA OSASCO;Osasco;São Paulo
2008;2008/10;09.112.454/0001-29;BSS SERV. DE BLINDAGEM LTDA. EPP;RUA SANTO EURILO,136/140;05345-040;JAGUARE;São Paulo;São Paulo
2012;2012/02;03.076.075/0003-06;BT COMMUNICATIONS DO BRASIL LTDA;ROD SP 101 TRECHO CAMPINAS MONTER,715;13186-904;DISTRITO INDUSTRIAL;Hortolândia;São Paulo
2010;2010/08;11.164.825/0001-68;BT DISTRIBUIDORA_DE EPI E MRO LTDA;R RUI BARBOSA, 321;18276-460;N/C;Tatuí;São Paulo
2010;2010/08;01.852.612/0001-75;BT EQUIPAMENTOS INDUSTRIAIS LTDA;RUA RUI BARBOSA,321;18276-460;JARDIM SAO LUIZ;Tatuí;São Paulo
2009;2009/09;74.280.256/0001-36;BT LATAM BRASIL LTDA;ROD SP 101 TRECHO CAMPINAS MONTE MOR;13187-000;DISTRITO INDUSTRIAL;Hortolândia;São Paulo
2012;2012/02;74.280.256/0001-36;BT LATAM BRASIL LTDA;ROD SP 101 TRECHO CAMPINAS,11;13186-904;DISTRITO INDUSTRIAL;Hortolândia;São Paulo
2012;2012/02;74.280.256/0001-36;BT LATAM BRASIL LTDA;ROD SP 101 TRECHO CAMPINAS,11;13186-904;DISTRITO INDUSTRIAL;Hortolândia;São Paulo
2011;2011/02;06.218.182/0001-58;BT LOGISTICA INTEGRADA LTDA;COSTA AGUIAR,2417;04204-002;IPIRANGA;São Paulo;São Paulo
2011;2011/02;00.278.183/0001-01;BT ORTHOPEDICS COM IMPL ORTOP LTDA;AVENIDA 55,1148;13501-540;JARDIM ANHANGUERA;Rio Claro;São Paulo
2009;2009/09;61.377.933/0001-97;BT PRODUTOS INDUSTRIAIS LTDA;AVENIDA CELSO GARCIA,4353;03063-000;TATUAPE;São Paulo;São Paulo
2010;2010/02;56.034.937/0001-32;BT SERVIçOS LTDA. EPP;AV PROF BENEDITO DE ANDRADE, 313;13422-000;DISTRITO INDUSTRIAL;Piracicaba;São Paulo
2011;2011/03;56.034.937/0001-32;BT SERVIÇOS LTDA-EPP;AV PROFESSOR BENEDITO ANDRADE, 313;13422-000;DIST. INDUSTRIAL;Piracicaba;São Paulo
2008;2008/10;56.034.937/0001-32;BT TRANSFORMADORES E SERVIÇOS LTDA EPP;AV PROF BENEDITO DE ANDRADE, 313;13422-000;Sem Informação;Piracicaba;São Paulo
2010;2010/06;09.310.281/0001-53;BTB MARTINS CHURRASCARIA LTDA -ME;AV MANOEL ALBINO 443;11431-030;JD.HELENA MARIA;Guarujá;São Paulo
2010;2010/07;01.373.743/0001-70;BTI - BRASIL BUSINESS TRAVEL INTERNATIONAL LTDA;AL SANTOS 1827 ANDAR 7                   CONJ  72;01419-002;CERQUEIRA CESAR;São Paulo;São Paulo
2010;2010/07;03.654.699/0004-44;BTI BIO TECNOLOGIA INDUSTRIAL LTDA;RUA OTAVIO TARQUINHO DE SOUZA,490;02442-000;CAMPO BELO;São Paulo;São Paulo
2008;2008/07;01.373.743/0001-70;BTI BRASIL BUSINESS TRAVEL INTERNAT LTDA;AL. SANTOS 1827;01419-002;Sem Informação;São Paulo;São Paulo
2009;2009/12;01.373.743/0001-70;BTI BRASIL BUSINESS TRAVEL INTERNATIONAL LTDA;RUA DA CONSOLALCAO, 368, 4O ANDAR.;01302-000;CERQUEIRA CESAR;São Paulo;São Paulo
2009;2009/11;01.373.743/0001-70;BTI BRASIL BUSINESS TRAVEL INTERNATIONAL LTDA;RUA DA CONSOLALÇÃO, 368, 4º ANDAR.;01302-000;CERQUEIRA CESAR;São Paulo;São Paulo
2011;2011/03;05.955.326/0001-96;BTK DEMOLITION BRASIL EQUIP CONS CIV L;JOSE PAIXAO,906;14711-214;DIST.INDUSTRIAL II;Bebedouro;São Paulo
2011;2011/05;00.008.220/0001-61;BTM ELETROMECANICA LTDA;QUATRO,69 (127), PREDIO 4;07172-470;JD. PRES DUTRA;Guarulhos;São Paulo
2009;2009/11;06.894.715/0001-11;BTOBACE INST ELETRICAS E TELEFONICAS LTDA;AV CAVALHEIRO PASCHOAL INNECCHI 888;14870-000;JARDIMINDEPENDENCIA;Jaboticabal;São Paulo
2012;2012/05;06.894.715/0001-11;BTOBACE INST ELETRICAS E TELEFONICAS LTDA;AV. ENGENHEIRO CAMILO DINUCCI, 1141 KM 77;14808-000;SANTANA;Araraquara;São Paulo
2010;2010/12;06.894.715/0001-11;BTOBACE INST ELETRICAS E TELEFONICAS LTDA;AV. JOSé BARBOSA DE SIQUEIRA 1751;06000-000;JD. PADROEIRA;Osasco;São Paulo
2011;2011/06;06.894.715/0001-11;BTOBACE INST ELETRICAS E TELEFONICAS LTDA;AV. JOSé BARBOSA DE SIQUEIRA, 1751;06190-090;JD. PADROEIRA;Osasco;São Paulo
2009;2009/12;06.894.715/0001-11;BTOBACE INST ELETRICAS E TELEFONICAS LTDA;AVENIDA JOSE BARBOSA DE SIQUEIRA, 1751;06190-090;JARDIM PADROEIRA;Osasco;São Paulo
2010;2010/06;06.894.715/0001-11;BTOBACE INST ELETRICAS E TELEFONICAS LTDA;AVENIDA PAULINO BRAGA;14870-000;APARECIDA;Jaboticabal;São Paulo
2009;2009/11;06.894.715/0001-11;BTOBACE INST ELETRICAS E TELEFONICAS LTDA;RUA ELVIO PUCCI, 180;14400-000;FRANCA;Franca;São Paulo
2009;2009/12;06.894.715/0001-11;BTOBACE INST ELETRICAS E TELEFONICAS LTDA;RUA éLVIO PUCCI, 180;14400-000;DISTRITO INDUSTRIAL;Franca;São Paulo
2009;2009/07;01.845.557/0001-96;BTS AGRO COMERCIAL LTDA;RUA HAYDEN,1;05314-010;VILA LEOPOLDINA;São Paulo;São Paulo
2010;2010/11;01.845.557/0001-96;BTS AGRO COMERCIAL LTDA EPP;RUA HAYDEN,1;05314-010;VILA LEOPOLDINA;São Paulo;São Paulo
2009;2009/10;06.948.311/0001-63;BTS DO BRASIL SERVICOS DE TECNOL LTDA;AV DAS NACOES UNIDAS 12551;04578-903;BROOKLIN;São Paulo;São Paulo
2011;2011/07;01.914.765/0001-08;BTS FEIRAS EVENTOS E EDITORA LTDA;27ª FISPAL FOOD SERVICE 2011-CENTER NORTE;02055-000;VILA GUILHERME;São Paulo;São Paulo
2012;2012/01;01.914.765/0001-08;BTS FEIRAS EVENTOS E EDITORA LTDA;FEIRA ONG BRASIL- CENTER NORTE;02055-000;VL GUILHERME;São Paulo;São Paulo
2009;2009/07;01.914.765/0001-08;BTS FEIRAS EVENTOS E EDITORA LTDA;FISPAL 2009;02055-000;V GUILHERME;São Paulo;São Paulo
2008;2008/08;60.893.807/0001-22;BTU CONDICIONADORES DE AR LTDA;AV HEITOR NASCIMENTO,151;13140-000;MORUMBI;Paulínia;São Paulo
2009;2009/06;60.893.807/0001-22;BTU CONDICIONADORES DE AR LTDA;AV HEITOR NASCIMENTO,151;13140-000;MORUMBI;Paulínia;São Paulo
2009;2009/03;60.893.807/0001-22;BTU CONDICIONADORES DE AR LTDA;AV HEITOR NASCIMENTO,151;13140-000;MORUMBI;Paulínia;São Paulo
2009;2009/08;60.893.807/0001-22;BTU CONDICIONADORES DE AR LTDA;AV HEITOR NASCIMENTO,151;13140-000;MORUMBI;Paulínia;São Paulo
2011;2011/08;12.307.782/0001-95;BTX ALIMENTOS LTDA;AV PROF FRANCISCO MORATO, 1359, LJ 03;05513-100;JD GUADALA;São Paulo;São Paulo
2010;2010/08;02.021.008/0001-60;BTX GEOLOGIA E MEIO AMBIENTE LTDA;RUA ESTEVAO LOPES,166;05503-020;BUTANTA;São Paulo;São Paulo
2010;2010/12;02.021.008/0001-60;BTX GEOLOGIA E MEIO AMBIENTE LTDA;RUA ESTEVAO LOPES,166;05503-020;BUTANTA;São Paulo;São Paulo
2008;2008/10;38.922.688/0001-30;BUATO INDUSTRIA E COMERCIO DE ROUPAS ESPORTIVAS LT;R SILVA PINTO 239;01126-010;BOM RETIRO;São Paulo;São Paulo
2009;2009/08;01.155.178/0001-74;BUBLIA S E LEONESSAS IND. COM. LTDA.ME.;AV. CAMINHO DO MAR, 3126;09609-000;RUDGE RAMOS;São Bernardo do Campo;São Paulo
2010;2010/11;05.087.808/0001-71;BUCAL HELP ASSISTENCIA ODONTOL S C LTDA;RUA 13 DE MAIO,34;13140-000;SANTA CECILIA;Paulínia;São Paulo
2009;2009/12;08.820.456/0001-00;BUCARI LOGISTICA E TRANSPORTES LTDA;RUA BARÃO DE COTEGIPE, 180;09951-390;JD RUYCE;Diadema;São Paulo
2008;2008/10;49.335.896/0001-59;BUCH ADVOGADOS ASSOCIADOS S C;R MARIA PAULA 123 9 AND;01319-001;BELA VISTA;São Paulo;São Paulo
2009;2009/03;48.580.013/0001-03;BUCHALA IND E COM DE CONFECCOES LTDA;RUA SILVA BUENO,2488;04208-002;IPIRANGA;São Paulo;São Paulo
2008;2008/12;08.767.404/0001-17;BUCHALLA ENGENHARIA;ESTRADA SAMUEL AIZEMBERG, 1110/1130;09700-000;Sem Informação;São Bernardo do Campo;São Paulo
2009;2009/12;00.169.691/0002-32;BUCHARA COM IMPORT EXP E REP LTDA;RUA MARCELINA RAMOS MEIRA,470;13185-250;JD. RICARDO;Hortolândia;São Paulo
2008;2008/12;00.169.691/0001-51;BUCHARA COMERC. IMP. EXPORT. REPRES.LTD;RUA PIRASSUNUNGA,185;13092-610;CHACARA DA BARRA;Campinas;São Paulo
2009;2009/06;00.169.691/0001-51;BUCHARA COML. IMPORT. EXPORT. E REPRESENTAÇÕES LTDA.;RUA PIRASSUNUNGA, 185;13092-610;CHACARA DA BARRA;Campinas;São Paulo
2008;2008/09;00.303.111/0001-77;BUCHI DE OLIVEIRA E OLIVEIRA LTDA ME;RUA SILVA JARDIM, 1039;16015-240;VILA SÃO PAULO;Araçatuba;São Paulo
2010;2010/08;38.969.309/0001-67;BUCK & BUCK LTDA-EPP;AV.PEDRO DE TOLEDO, 677;17509-020;PALMITAL;Marília;São Paulo
2009;2009/03;00.744.100/0001-22;BUCK ENGENHARIA E COMERCIO LTDA;RUA DUARTE PACHECO, 605;15000-000;Sem Informação;São José do Rio Preto;São Paulo
2010;2010/11;00.744.100/0001-22;BUCK ENGENHARIA E COMERCIO LTDA;RUA GAGO COUTINHO, 535;15000-000;HIGIENOPOLIS;São José do Rio Preto;São Paulo
2008;2008/12;46.090.197/0014-12;BUCK TRANSPORTES RODOVIARIOS LTDA;RUA VOLUNTÁRIOS DA PÁTRIA, 407;14800-350;SÃO JOSÉ;Araraquara;São Paulo
2009;2009/01;05.153.455/0001-60;BUCKA COMERCIAL DE EQUIP CONTRA INCEND E SERVICOS LT;RUA ENEIAS LUIS CARLOS BARBANTI,351;02911-000;FREGUESIA DO O;São Paulo;São Paulo
2010;2010/12;03.719.063/0001-90;BUCKEYE AMERICANA LTDA;4AO JERONIMO,4600;13465-000;SAO JERONIMO;Americana;São Paulo
2010;2010/11;44.589.885/0001-81;BUCKMAN LABORATORIOS LTDA;VIA ANHANGUERA KM 107;13181-901;MATAO;Sumaré;São Paulo
2010;2010/09;44.589.885/0001-81;BUCKMAN LABORATORIOS LTDA;VIA ANHANGUERA KM 107;13181-901;MATAO;Sumaré;São Paulo
2008;2008/12;44.589.885/0001-81;BUCKMAN LABORATORIOS LTDA;VIA ANHANGUERA KM.107;13181-901;SUMARE;Sumaré;São Paulo
2011;2011/02;06.290.471/0001-68;BUCZMIEJUK COMERCIO DE BEBIDAS E MINIMERCADO LTDA.;AV DUQUE DE CAXIAS 935;01214-100;CAMPOS ELISEOS;São Paulo;São Paulo
2009;2009/04;62.058.318/0001-80;BUD COM DE ELETRODOMESTICOS LTDA;RUA MANOEL COELHO 600 2º ANDAR SL 243/244;09510-101;CENTRO;São Caetano do Sul;São Paulo
2009;2009/03;62.058.318/0001-80;BUD COMERCIO DE ELETRODOMESTICOS LTDA;MANOEL COELHO,600;09510-101;CENTRO;São Caetano do Sul;São Paulo
2009;2009/04;62.058.318/0001-80;BUD COMERCIO DE ELETRODOMESTICOS LTDA;RUA MANOEL COELHO 600 2 ANDAR 243/244;09510-101;CENTRO;São Caetano do Sul;São Paulo
2009;2009/02;62.058.318/0001-80;BUD COMERCIO DE ELETRODOMESTICOS LTDA;RUA MANOEL COELHO 600 2 ANDAR 243/244;09510-101;CENTRO;São Caetano do Sul;São Paulo
2012;2012/04;08.848.395/0001-99;BUDA & GALLEANI LTDA ME;AV PARANA,36;14811-124;JD BRASIL;Araraquara;São Paulo
2009;2009/09;61.394.243/0001-46;BUDAI INDUSTRIA METALURGICA LTDA;VIA DE ACESSO JOAO DE GOES,,1895;06612-000;JD ALVORADA;Jandira;São Paulo
2010;2010/12;61.394.243/0001-46;BUDAI INDUSTRIA METALURGICA LTDA;VIA DE ACESSO JOAO DE GOES,1895;06612-000;JD ALVORADA;Jandira;São Paulo
2011;2011/02;61.394.243/0001-46;BUDAI INDUSTRIA METALURGICA LTDA;VIA DE ACESSO JOAO DE GOES,1895;06612-000;JD ALVORADA;Jandira;São Paulo
2011;2011/10;63.089.775/0001-03;BUDI IND E COM DE MALHAS LTDA;RUA VER CID GALVAO DA SILVA,142;03602-020;PENHA;São Paulo;São Paulo
2008;2008/10;00.567.893/0001-51;BUDIN NOMURA ASSOC COM IMP EXP LTDA;RUA ANTONIO GUGANIS,321;02044-110;JARDIM SAO PAULO;São Paulo;São Paulo
2010;2010/12;02.015.521/0001-48;BUDPLAS MOLDE E INJECAO DE TERMOPLASTICO LTDA EPP;RUA ANTONIO LOPES DA SILVA,401;06322-320;VILA ANA MARIA;Carapicuíba;São Paulo
2010;2010/02;01.371.501/0001-47;BUEDO CONFEC E ACESS EM COURO LTDA ME;MAJOR FREIRE,507;04304-110;VILA MONTE ALEGRE;São Paulo;São Paulo
2008;2008/06;55.340.335/0001-40;BUELONI & GRANER S/C LTDA ME;RUA PRUDENTE DE MORAES 286;13400-310;CENTRO;Piracicaba;São Paulo
2008;2008/10;02.663.246/0001-79;BUELONI ADVOGADOS;R DONA ELISA PEREIRA DE BARROS 113;01456-000;JARDIM PAULISTANO;São Paulo;São Paulo
2010;2010/07;07.749.892/0001-77;BUEN AYRE COMÉRCIO DE MULTIALIMENTOS;RUA DOM LEOPOLDO I, Nº 8486;05468-040;LAPA;São Paulo;São Paulo
2008;2008/09;01.041.673/0001-52;BUENA VISTA;R RODESIA,229;05435-020;SUMAREZINHO;São Paulo;São Paulo
2008;2008/10;62.370.028/0001-78;BUENINVEST REPRESENTACOES COMERCIAIS LTDA;AV BRIG. FARIA LIMA 2277 21 ANDAR SALA 1;01452-000;JARDIM PAULISTANO;São Paulo;São Paulo
2012;2012/03;67.387.878/0001-00;BUENO & ARAGãO LTDA;AV INDEPENDENCIA, 3374;13416-240;VILA INDEPENDENCIA;Piracicaba;São Paulo
2010;2010/10;10.606.921/0001-56;BUENO & FEDEL_LTDA ME;RUA SETE DE SETEMBRO, 129 A;13930-000;CENTRO;Serra Negra;São Paulo
2010;2010/03;10.606.921/0001-56;BUENO & FEDEL_LTDA ME;RUA SETE DE SETEMBRO, 129 A;13930-000;CENTRO;Serra Negra;São Paulo
2008;2008/09;04.443.359/0001-94;BUENO & GAZAL COMERCIO DE AUTO PEÇAS LTDA ME;AV ENG. ANTONIO FRANCISCO DE PAULA SOUZA, 1684;13043-670;VL.GEORGINA;Campinas;São Paulo
2012;2012/03;11.475.960/0001-24;BUENO & RODRIGUES CENTRO FORMACAO DE CONDUTORES B LT;RUA DR SILVA BARROS,262;12080-300;CENTRO;Taubaté;São Paulo
2009;2009/02;54.459.680/0001-35;BUENO ASSOCIADOS REPRESENTACOES LTDA;ESTRADA DE ITAPECERICA,449;05835-001;VILA BELEZAS;São Paulo;São Paulo
2010;2010/10;45.879.939/0001-06;BUENO BR CENOGRAFIA LIMITADA;AVENIDA SENADOR TEOTôNIO VILELA, 260;01000-000;INTERLAGOS;São Paulo;São Paulo
2011;2011/11;69.119.055/0002-00;BUENO BR. CENOGRAFIA LTDA;AVENIDA TEOTôNIO VILELA Nº 261;01000-000;INTERLAGOS;São Paulo;São Paulo
2012;2012/03;08.114.239/0001-02;BUENO CINCO AGRONEGOCIO LTDA;EST DA ROSEIRA,9;13840-040;CONSELHEIRO LAURIND;Mogi Guaçu;São Paulo
2008;2008/11;09.118.980/0001-04;BUENO COELHO CONSTRUCOES E ENGENHARIA LTDA;RUA ANSELMO MANARELLI, 425;16050-590;SANTANA;Araçatuba;São Paulo
2008;2008/08;09.118.980/0001-04;BUENO COELHO CONSTRUCOES E ENGENHARIA LTDA;RUA ANSELMO MANARELLI, 425;16050-590;SANTANA;Araçatuba;São Paulo
2009;2009/11;09.118.980/0001-04;BUENO COELHO CONSTRUCOES E ENGENHARIA LTDA;RUA ANSELMO MANARELLI, 425;16050-590;SANTANA;Araçatuba;São Paulo
2008;2008/09;00.971.658/0001-40;BUENO DE CAMARGO CONS.ADM.E PART.LTDA;RUA FRANCISCO LEITAO,469;05414-020;JD. AMERICA;São Paulo;São Paulo
2009;2009/12;06.212.790/0001-55;BUENO DOS REIS & BUENO LTDA ME;RUA PADRE MARTINHO FORNER 57;12580-000;PARQUE DAS ROSAS;Roseira;São Paulo
2009;2009/06;68.912.492/0001-25;BUENO E BUENO LTDA ME;RUA URUGUAI, 178;13360-000;JD STO ANTONIO;Capivari;São Paulo
2012;2012/05;10.414.708/0001-42;BUENO E GORDO LTDA ME;RUA ANTONIO GONZAGA DOS SANTOS,350;13186-382;JD STA CLARA LAGO I;Hortolândia;São Paulo
2011;2011/04;11.403.500/0001-90;BUENO E MAYER COMERCIO DE ALIMENTOS LTDA EPP;RUA PURPURINA, 107;05435-030;SUMAREZINHO;São Paulo;São Paulo
2012;2012/05;08.827.091/0001-45;BUENO E MELO DISTRIBUIDORA DE LIVROS LTDA ME;AL RIBEIRO DA SILVA,611;01217-010;CAMPOS ELISIOS;São Paulo;São Paulo
2008;2008/12;09.648.615/0001-01;BUENO E SUITER COMERCIO DE ARTIGOS DE CAMA MESA E BANHO;AV. LIMEIRA, 722, SALA E 09,10 E 11;13414-900;AREAO;Piracicaba;São Paulo
2010;2010/08;76.736.123/0001-57;BUENO ENGENHARIA E CONSTRUCAO LTDA;RUA PREFEITO JOAO PIRES FILHO, 153;07500-000;AFONSO PENA;Santa Isabel;São Paulo
2010;2010/03;76.736.123/0001-57;BUENO ENGENHARIA E CONSTRUCAO LTDA;RUA PREFEITO JOãO PIRES FILHO, 153;07500-000;Sem Informação;Santa Isabel;São Paulo
2009;2009/02;69.119.055/0001-11;BUENO EVENTOS LTDA;RUA PADRE ANCHIETA,199;09572-060;BOA VISTA;São Caetano do Sul;São Paulo
2010;2010/01;53.929.956/0001-39;BUENO IND COM. DE PAPEIS E SUCATAS LTDA;AV. MIN.ROBERTO CARDOSO ALVES,2401;13846-146;PQUE INDUSTRIAL;Mogi Guaçu;São Paulo
2011;2011/05;53.929.956/0001-39;BUENO IND COM. DE PAPEIS E SUCATAS LTDA;AV. MIN.ROBERTO CARDOSO ALVES,2401;13849-212;PQUE INDUSTRIAL;Mogi Guaçu;São Paulo
2010;2010/01;02.569.649/0001-53;BUENO NETTO GESTAO IMOBILIARIA LTDA.;AVENIDA BRIGADEIRO FARIA LIMA, 4440;01000-000;PINHEIROS;São Paulo;São Paulo
2008;2008/09;02.569.649/0001-53;BUENO NETTO GESTAO IMOBILIARIA LTDA.;AVENIDA DOUTOR CARDOSO DE MELO, 1340 - 2.ANDAR;04548-004;PERDIZES;São Paulo;São Paulo
2009;2009/02;02.584.269/0001-98;BUENO NETTO GESTAO IMOBILIARIA LTDA.;RUA CLAUDIO SOARES, 72;01000-000;Sem Informação;São Paulo;São Paulo
2009;2009/11;02.584.269/0001-98;BUENO NETTO GESTAO IMOBILIARIA LTDA.;RUA CLAUDIO SOARES, 72;01000-000;Sem Informação;São Paulo;São Paulo
2008;2008/11;02.569.649/0001-53;BUENO NETTO GESTAO IMOBILIARIA LTDA.;RUA JACAREZINHO, 241;01000-000;Sem Informação;São Paulo;São Paulo
2011;2011/01;02.569.649/0001-53;BUENO NETTO GESTAO IMOBILIARIA LTDA.;RUA JACAREZINHO,241;01000-000;Sem Informação;São Paulo;São Paulo
2008;2008/09;08.149.322/0001-09;BUENO SANTOS SERV LIMP E INFRA EST LT;AV. JOSE BENASSI, 100;13213-085;Sem Informação;Jundiaí;São Paulo
2008;2008/10;53.131.264/0001-40;"BUENO TECNICA CINE FOTO S/C LTDA. ""ME""";R CONS CRISPINIANO 40 2 ANDAR CJTO 202;01037-903;CENTRO;São Paulo;São Paulo
2009;2009/11;53.131.264/0001-40;BUENO TECNICA CINE FOTO SC LTDA ME;RUA CONSELHEIRO CRISPINIANO,40;01037-000;CENTRO;São Paulo;São Paulo
2009;2009/06;05.649.296/0001-90;BUENOS AIRES CLAS REST PARRILLA LTDA EPP;RUA BANDEIRA PAULISTA,520;04532-001;ITAIM BIBI;São Paulo;São Paulo
